"property_id","address","street_name","city","rstate","latitude","longitude","postcode","price","zestimate","bedroom_number","bathroom_number","price_per_unit","living_space","land_space","property_type","property_status","agency_name","zillow_owned","RunDate"
"333605390","130 Coleridge St PENTHOUSE 7, Boston, MA 02128","Coleridge St PENTHOUSE 7","Boston","MA","42.380947","-71.01511","02128",775000.00,775000.00,2.00,2.00,678,1142.00,"","CONDO","FOR_SALE","Compass",0,"2022-03-13 07:34:20"
"2078520070","4 Coppersmith Way FLOOR 2, Boston, MA 02128","Coppersmith Way FLOOR 2","Boston","MA","42.37179","-71.04168","02128",525000.00,547100.00,2.00,1.00,875,600.00,"","CONDO","FOR_SALE","Carlton's Wharf & Co.",0,"2022-03-13 07:34:20"
"2066504048","110 Sudbury St UNIT 4004, Boston, MA 02114","Sudbury St UNIT 4004","Boston","MA","42.36224","-71.05918","02114",4600000.00,"",2.00,3.00,2021,2275.00,"","CONDO","FOR_SALE","Campion & Company Fine Homes Real Estate",0,"2022-03-13 07:34:20"
"2084606105","49 Melcher St UNIT 402, Boston, MA 02210","Melcher St UNIT 402","Boston","MA","42.349384","-71.050385","02210",899000.00,911400.00,1.00,1.00,1039,865.00,"","CONDO","FOR_SALE","Douglas Elliman Real Estate",0,"2022-03-13 07:34:20"
"2066506100","110 Sudbury St UNIT 3905, Boston, MA 02114","Sudbury St UNIT 3905","Boston","MA","42.36224","-71.05918","02114",3150000.00,"",2.00,2.00,1704,1848.00,"","CONDO","FOR_SALE","Campion & Company Fine Homes Real Estate",0,"2022-03-13 07:34:20"
"2066506098","110 Sudbury St UNIT 3803, Boston, MA 02114","Sudbury St UNIT 3803","Boston","MA","42.36224","-71.05918","02114",3250000.00,"",2.00,3.00,1869,1738.00,"","CONDO","FOR_SALE","Campion & Company Fine Homes Real Estate",0,"2022-03-13 07:34:20"
"59163282","6 Whittier Pl APT 8R, Boston, MA 02114","Whittier Pl APT 8R","Boston","MA","42.365837","-71.06679","02114",650000.00,572600.00,1.00,1.00,726,895.00,"","CONDO","FOR_SALE","",0,"2022-03-13 07:34:20"
"2066508218","420 W Broadway #U-405, Boston, MA 02127","W Broadway #U-405","Boston","MA","42.336876","-71.04709","02127",1029900.00,"",2.00,2.00,1055,976.00,"","CONDO","FOR_SALE","Advisors Living - New Developments",0,"2022-03-13 07:34:20"
"67715666","8-10 Sheafe St #6, Boston, MA 02113","10 Sheafe St #6","Boston","MA","42.36605","-71.05542","02113",475000.00,481800.00,1.00,1.00,1224,388.00,"","CONDO","FOR_SALE","Compass",0,"2022-03-13 07:34:20"
"2067247949","44-46 Lexington St, Boston, MA 02128","46 Lexington St","Boston","MA","42.37827","-71.036","02128",5250000.00,"",24.00,16.00,497,10543.00,5000.0000,"MULTI_FAMILY","FOR_SALE","William Raveis R.E. & Home Services",0,"2022-03-13 07:34:20"
"90136659","42 Beach St #8C, Boston, MA 02111","Beach St #8C","Boston","MA","42.351604","-71.060936","02111",638000.00,647400.00,1.00,1.00,840,759.00,871.2000,"CONDO","FOR_SALE","Central Real Estate",0,"2022-03-13 07:34:20"
"2068395729","99 Sumner St #314, Boston, MA 02128","Sumner St #314","Boston","MA","","","02128",809900.00,819600.00,1.00,1.00,1127,718.00,"","CONDO","FOR_SALE","Century 21 Mario Real Estate",0,"2022-03-13 07:34:20"
"2068379064","135 Seaport Blvd UNIT 1810, Boston, MA 02210","Seaport Blvd UNIT 1810","Boston","MA","42.350513","-71.04365","02210",3695000.00,3469300.00,3.00,4.00,2044,1807.00,"","CONDO","FOR_SALE","TCC / EchelonSeaport",0,"2022-03-13 07:34:20"
"333606141","133 Seaport Blvd UNIT 1812, Boston, MA 02210","Seaport Blvd UNIT 1812","Boston","MA","42.350487","-71.0436","02210",1249000.00,1248900.00,1.00,1.00,1807,691.00,"","CONDO","FOR_SALE","TCC / EchelonSeaport",0,"2022-03-13 07:34:20"
"2066516226","457 W Broadway #510, Boston, MA 02127","W Broadway #510","Boston","MA","42.33576","-71.046394","02127",890000.00,"",2.00,1.00,1185,751.00,"","CONDO","FOR_SALE","Coldwell Banker Realty - Back Bay",0,"2022-03-13 07:34:20"
"2102180360","14 Jenkins St #2, Boston, MA 02127","Jenkins St #2","Boston","MA","42.330738","-71.05343","02127",949000.00,959200.00,2.00,2.00,786,1207.00,"","CONDO","FOR_SALE","Compass",0,"2022-03-13 07:34:20"
"59175818","19 Gray St #1, Boston, MA 02116","Gray St #1","Boston","MA","42.345753","-71.071175","02116",1375000.00,1375000.00,3.00,3.00,1141,1205.00,"","CONDO","FOR_SALE","Cameron Real Estate Group",0,"2022-03-13 07:34:20"
"102981544","110 Stuart St PENTHOUSE 3, Boston, MA 02116","Stuart St PENTHOUSE 3","Boston","MA","42.350956","-71.06541","02116",4950000.00,"",3.00,4.00,1923,2574.00,2613.6000,"CONDO","FOR_SALE","Gibson Sotheby's International Realty",0,"2022-03-13 07:34:20"
"59163526","8 Whittier Pl APT 14F, Boston, MA 02114","Whittier Pl APT 14F","Boston","MA","42.365704","-71.06735","02114",624900.00,635300.00,1.00,1.00,688,908.00,871.2000,"CONDO","FOR_SALE","The Greene Realty Group",0,"2022-03-13 07:34:20"
"2076295221","226-228 Princeton St, Boston, MA 02128","228 Princeton St","Boston","MA","42.379402","-71.03151","02128",2295000.00,2200100.00,13.00,11.00,328,6987.00,"","MULTI_FAMILY","FOR_SALE","",0,"2022-03-13 07:34:20"
"2101349609","121 Portland St #205, Boston, MA 02114","Portland St #205","Boston","MA","42.36362","-71.06054","02114",869999.00,870300.00,1.00,2.00,911,954.00,"","CONDO","FOR_SALE","PSR Real Estate",0,"2022-03-13 07:34:20"
"2066539312","98-100 Marginal St, Boston, MA 02128","100 Marginal St","Boston","MA","42.365807","-71.03704","02128",1799999.00,"",3.00,3.00,840,2141.00,2178.0000,"MULTI_FAMILY","FOR_SALE","Lantern Residential",0,"2022-03-13 07:34:20"
"333606097","133 Seaport Blvd UNIT 1601, Boston, MA 02210","Seaport Blvd UNIT 1601","Boston","MA","42.350487","-71.0436","02210",1149900.00,1149600.00,1.00,1.00,1723,667.00,"","CONDO","FOR_SALE","TCC / EchelonSeaport",0,"2022-03-13 07:34:20"
"2077218293","135 Seaport Blvd #2001, Boston, MA 02210","Seaport Blvd #2001","Boston","MA","42.350513","-71.04365","02210",2495000.00,2494400.00,2.00,3.00,1898,1314.00,"","CONDO","FOR_SALE","TCC / EchelonSeaport",0,"2022-03-13 07:34:20"
"333606135","133 Seaport Blvd UNIT 1803, Boston, MA 02210","Seaport Blvd UNIT 1803","Boston","MA","42.350487","-71.0436","02210",1775000.00,1774200.00,2.00,2.00,1671,1062.00,"","CONDO","FOR_SALE","TCC / EchelonSeaport",0,"2022-03-13 07:34:20"
"2081043118","380 Harrison Ave #14B, Boston, MA 02118","Harrison Ave #14B","Boston","MA","42.343845","-71.0637","02118",2424000.00,2392500.00,2.00,2.00,1775,1365.00,"","CONDO","FOR_SALE","TCC / The Quinn",0,"2022-03-13 07:34:20"
"2066539322","380 Harrison Ave PENTHOUSE 2J, Boston, MA 02118","Harrison Ave PENTHOUSE 2J","Boston","MA","42.343845","-71.0637","02118",5995000.00,"",4.00,5.00,2217,2704.00,"","CONDO","FOR_SALE","TCC / The Quinn",0,"2022-03-13 07:34:20"
"246887073","1 Franklin St UNIT 4005, Boston, MA 02110","Franklin St UNIT 4005","Boston","MA","42.356316","-71.059555","02110",2675000.00,2619500.00,2.00,3.00,1662,1609.00,"","CONDO","FOR_SALE","Compass",0,"2022-03-13 07:34:20"
"2072794708","380 Harrison Ave #1013, Boston, MA 02118","Harrison Ave #1013","Boston","MA","42.343845","-71.0637","02118",2131000.00,2131000.00,2.00,2.00,1726,1234.00,"","CONDO","FOR_SALE","TCC / The Quinn",0,"2022-03-13 07:34:20"
"2066539314","380 Harrison Ave PENTHOUSE 2K, Boston, MA 02118","Harrison Ave PENTHOUSE 2K","Boston","MA","42.343845","-71.0637","02118",3265000.00,"",3.00,3.00,1993,1638.00,"","CONDO","FOR_SALE","TCC / The Quinn",0,"2022-03-13 07:34:20"
"59101725","79 Wayland St, Boston, MA 02125","Wayland St","Boston","MA","42.3139","-71.075096","02125",425000.00,439400.00,2.00,2.00,433,980.00,1788.0000,"SINGLE_FAMILY","FOR_SALE","Keller Williams Realty",0,"2022-03-13 07:34:20"
"2069885969","Lexington Landing - PH 7 Plan, Lexington Landing","Lexington Landing - PH 7 Plan, Lexington Landing","Boston","MA","42.377106","-71.03889","02128",745000.00,745000.00,2.00,2.00,783,951.00,"","CONDO","FOR_SALE","",0,"2022-03-13 07:34:20"
"2076430887","121 Portland St #501, Boston, MA 02114","Portland St #501","Boston","MA","42.36362","-71.06054","02114",1049000.00,1049000.00,2.00,2.00,1039,1009.00,"","CONDO","FOR_SALE","Engel & Volkers Boston",0,"2022-03-13 07:34:20"
"2083014541","63 Atlantic Ave APT 5E, Boston, MA 02110","Atlantic Ave APT 5E","Boston","MA","42.363106","-71.05132","02110",699900.00,701000.00,1.00,1.00,1184,591.00,"","CONDO","FOR_SALE","The Charles Realty",0,"2022-03-13 07:34:20"
"2066559353","538 Tremont St #1-4, Boston, MA 02118","Tremont St #1-4","Boston","MA","42.34423","-71.07075","02118",4750000.00,"",4.00,4.00,1079,4400.00,1306.8000,"MULTI_FAMILY","FOR_SALE","Keller Williams Realty Boston-Metro | Back Bay",0,"2022-03-13 07:34:20"
"2066551474","28 Atlantic Ave #513, Boston, MA 02110","Atlantic Ave #513","Boston","MA","42.363426","-71.05078","02110",1895000.00,"",2.00,2.00,1250,1515.00,"","CONDO","FOR_SALE","Compass",0,"2022-03-13 07:34:20"
"2091037140","140 Shawmut Ave UNIT 2B, Boston, MA 02118","Shawmut Ave UNIT 2B","Boston","MA","42.345726","-71.06568","02118",725000.00,"",1.00,1.00,1115,650.00,"","CONDO","FOR_SALE","The Charles Realty",0,"2022-03-13 07:34:20"
"59211162","1180-1200 Washington St #202, Boston, MA 02118","1200 Washington St #202","Boston","MA","42.343086","-71.06632","02118",949000.00,916800.00,1.00,1.00,890,1066.00,"","CONDO","PENDING","",0,"2022-03-13 07:34:20"
"2075315411","135 Seaport Blvd UNIT 806, Boston, MA 02210","Seaport Blvd UNIT 806","Boston","MA","","","02210",1499000.00,1499000.00,2.00,2.00,1482,1011.00,"","CONDO","FOR_SALE","TCC / EchelonSeaport",0,"2022-03-13 07:34:20"
"59163555","8 Whittier Pl APT 17E, Boston, MA 02114","Whittier Pl APT 17E","Boston","MA","42.365704","-71.06735","02114",849000.00,848500.00,2.00,2.00,693,1224.00,"","CONDO","FOR_SALE","Gibson Sotheby's International Realty",0,"2022-03-13 07:34:20"
"2076431391","135 Seaport Blvd #912, Boston, MA 02210","Seaport Blvd #912","Boston","MA","","","02210",799000.00,"",0.00,1.00,1601,499.00,"","CONDO","FOR_SALE","TCC / EchelonSeaport",0,"2022-03-13 07:34:20"
"2066571029","135 Seaport Blvd UNIT 1208, Boston, MA 02210","Seaport Blvd UNIT 1208","Boston","MA","42.350513","-71.04365","02210",1029000.00,"",1.00,1.00,1549,664.00,"","CONDO","FOR_SALE","TCC / EchelonSeaport",0,"2022-03-13 07:34:20"
